Date,EPSYLD,BOOKP,GROWTH,REVISIONS,PROFIT,LEVERAGE,DIVYLD,MOMENTUM,VOLATILITY,SIZE,LIQUIDITY,QESSIRCLEV,QESOILBETA,QESHFCROWDING,QESSHORTINTEREST,QESETFFLOW,AUTOS,BANKS,CAPITALGOODS,CHEMICALS,COMMPROFSVCS,CONSDURABLES,CONSSERVICES,DIVFINANCIALS,ENGEQUIPSERVICES,ENGEXPLOREPROD,FOODBEVTOBACCO,FOODSTAPLERETAIL,HARDWARE,HCEQUIPSERVICES,HHPPRODUCTS,INSURANCE,MEDIAENERTAIN,METALSMINING,OTHERMATERIALS,PHARMABIOTECH,REALESTATE,RETAIL,SEMISEQUIP,SOFTWARE,TELECOMM,TRANSPORTATION,UTILITIES,STYLE,SECTOR,SYSTEMATIC,RESIDUAL,TOTAL
2014-05-05,-0.0171771621382266,0.0363425957615705,-0.0092138470695504,0.0816749460409615,-0.0412745385480036,-0.0560512253761345,0.0016010844231236,0.0083587305524248,-0.0117019915486734,0.0150394583893661,0.0864472074666255,0.0371962907668118,0.0185615122255779,0.052593480982094,0.046407099616596,-0.036213882383541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-06,-0.0150712976586358,0.0389723970029826,-0.0056080748737085,0.082772101325647,-0.0448952790855167,-0.0594296650728905,0.0031743341254566,0.0081667949607729,-0.0100854519873797,0.015623514757107,0.088948347004476,0.0361103523659658,0.0208918110414845,0.056277606711303,0.0406943671814287,-0.0224407313637324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-07,-0.0138454950015729,0.0407392370633093,-0.0035080891593099,0.078874635175856,-0.0386242693125338,-0.0575966577073035,0.0022201210280994,0.0191959872567169,-0.0120320689084793,0.016352806367934,0.083459662648294,0.0360554559777988,0.0248036447144095,0.0551329674867605,0.0406340293339933,-0.0368205308115706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-08,-0.0132077401165363,0.0397215407606665,0.0004859338345024,0.079873830733965,-0.0382352769963576,-0.057818786461365,0.0022760521879095,0.0214415775415714,-0.0139644456612259,0.0186394910900643,0.082745258960794,0.0376396138954934,0.025574919675112,0.054647360775438,0.0431545709592575,-0.0406090512043964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-09,-0.0001541626129865,0.0376185800548454,0.002941760910506,0.105478461204753,-0.032225760195242,-0.0588900794669865,0.0021541115383417,0.0213028777710554,-0.0130850047610991,0.0205944328545331,0.088400306011434,0.0394133847685979,0.0235420872922987,0.0533708855847655,0.0442978150897846,-0.058699266967246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-10,-0.0001541626129865,0.0376185800548454,0.002941760910506,0.105478461204753,-0.032225760195242,-0.0588900794669865,0.0021541115383417,0.0213028777710554,-0.0130850047610991,0.0205944328545331,0.088400306011434,0.0394133847685979,0.0235420872922987,0.0533708855847655,0.0442978150897846,-0.058699266967246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-11,-0.0001541626129865,0.0376185800548454,0.002941760910506,0.105478461204753,-0.032225760195242,-0.0588900794669865,0.0021541115383417,0.0213028777710554,-0.0130850047610991,0.0205944328545331,0.088400306011434,0.0394133847685979,0.0235420872922987,0.0533708855847655,0.0442978150897846,-0.058699266967246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-12,0.0074791050365284,0.0415512890872474,0.0066568944445823,0.10169037110904,-0.0375233688496423,-0.05946135645406,-0.00359868919446,0.0161602759430877,-0.0111106215043186,0.0202350648204264,0.091116772137574,0.0410166343028945,0.0225884052450582,0.0520578577632565,0.0457563015386398,-0.0727581075428935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-13,0.0061403855313169,0.0386220013959076,0.0068047531180966,0.088209377205848,-0.0336894793158285,-0.0539998862668745,-0.0027384504943812,0.0196593778343671,-0.0104047623278101,0.0200184837166589,0.090186844717488,0.0411600734057146,0.0213236891348239,0.05390717793348,0.0428730417512861,-0.051527031704252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-14,0.0021948680333773,0.0355042181097815,0.0131952970654481,0.0202772025834988,-0.0339006956076901,-0.049385139911405,0.0005908028590506,0.0214873572942016,-0.0101954846071129,0.019503336396396,0.0873098460730765,0.039665268258097,0.0234206432278981,0.0545241886946585,0.0489672394174314,-0.045999113682108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-15,0.0014519362214779,0.0334953099822554,0.0190398747805882,0.0105364983687362,-0.0429641202127255,-0.0427484502821756,-0.0013556313287338,0.0169418112520012,-0.010395717404639,0.0172925276341805,0.085753270660173,0.0378018016291301,0.024281079491385,0.053327463524165,0.0474334078465643,-0.0049695003511207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-16,0.0054890380347682,0.0366638318517373,0.0180422811795688,0.0142453139782866,-0.0443408376553455,-0.0436827176148646,0.0006274933476087,0.0139916334444053,-0.011083339334964,0.01801589714209,0.0882538133242875,0.0360348951804951,0.0259443874715884,0.05009435250008,0.0459852272758709,-0.0018765715006489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-17,0.0054890380347682,0.0366638318517373,0.0180422811795688,0.0142453139782866,-0.0443408376553455,-0.0436827176148646,0.0006274933476087,0.0139916334444053,-0.011083339334964,0.01801589714209,0.0882538133242875,0.0360348951804951,0.0259443874715884,0.05009435250008,0.0459852272758709,-0.0018765715006489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-18,0.0054890380347682,0.0366638318517373,0.0180422811795688,0.0142453139782866,-0.0443408376553455,-0.0436827176148646,0.0006274933476087,0.0139916334444053,-0.011083339334964,0.01801589714209,0.0882538133242875,0.0360348951804951,0.0259443874715884,0.05009435250008,0.0459852272758709,-0.0018765715006489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-19,0.0034950544783017,0.0368098578352133,0.0130686149644955,0.0071673802834285,-0.043705540657721,-0.04986551680915,-0.0022632312975881,0.0142886427737928,-0.0093787929454983,0.0186932472120498,0.089881059542529,0.037280495272459,0.0271190952996581,0.0509415091091405,0.0448371090712051,-0.050493599473109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-20,0.004727705355908,0.0343716230231103,0.0108671940709,0.0036171849309263,-0.0432611329476304,-0.0496151301327676,0.0070049459724202,0.0144864130468068,-0.0087625434105444,0.0178094502363855,0.0898808103946315,0.0376431146364274,0.0278206408060384,0.0508210955289985,0.0488002204228819,-0.0566821894527935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-21,0.005091173371142,0.0351451137780092,0.0114407789118634,-0.0090900499760405,-0.044601319862207,-0.0486869039596056,0.0001842331828656,0.0131241480254363,-0.0096364103392302,0.018293807068666,0.088141881538065,0.0370906848819459,0.0279618421766214,0.0500266742772215,0.0500569887667135,-0.0553741875023685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-22,0.0067242489133302,0.0372855254425887,0.0132026108606231,-0.0119192017993504,-0.0417468737881535,-0.048069789302229,-0.0019127193624567,0.0173681408961959,-0.0100255883747647,0.0186002564151413,0.087201964100536,0.0368778287063863,0.0278440618487556,0.050744905638801,0.0489164594297023,-0.051105589395253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-23,0.0064734205339847,0.0372619364628465,0.0132495197011426,-0.0060479833271864,-0.039982808073912,-0.0491445783340969,-0.0005175763073782,0.014707273195955,-0.0098613130107447,0.0178604103323615,0.0892702827593725,0.0388402946448548,0.0271516272986088,0.051021283779459,0.0439155500576049,-0.0507682297631495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
2014-05-24,0.0064734205339847,0.0372619364628465,0.0132495197011426,-0.0060479833271864,-0.039982808073912,-0.0491445783340969,-0.0005175763073782,0.014707273195955,-0.0098613130107447,0.0178604103323615,0.0892702827593725,0.0388402946448548,0.0271516272986088,0.051021283779459,0.0439155500576049,-0.0507682297631495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,1,1,1,1
